variable,0,3001,3002,3003,3004,3005,3006,3007,3008,3009,3010,3011,3012,3013,3014,3015,3016,3017,3018,3019,3020,3021,3022,3023,3024,3025,3026,3027,3028,3029,3030,3031,3032,3033,3034,3035,3036,3037,3038,3039,3040,3041,3042,3043,3044,3045,3046,3047,3048,3049,3050,3051,3052,3053,3054,3055,3056,3057,3058,3059,3060,3061,3062,3063,3064,3065,3066,3067,3068,3069,3070,3071,3072,3073,3074,3075,3076,3077,3078,3079,3080,3081,3082,3083,3084,3085,3086,3087,3088,3089,3090,3091,3092,3093,3094,3095,3097,3098,3099,3100,3101,3102,3103,3104,3105,3106,3107,3108,3109,3110,3111,3112,3113,3114,3115,3116,3117
mh_counselling_num_region,43,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,1,0,5,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,1,2,1,3
mh_counselling_num_per_1000_res_plus_buffer,0.042,NA,0,0,0,0,NA,0,0,0.33,0,0,0,0,0,0,0,0,0,NA,0.124,0,0.094,0,0.157,0,0,0.083,0.15,0,NA,0,0,0,0.114,0,0,0,0,0,0,0,NA,0,0,0.662,0,0,0,0,NA,NA,0,0,0,0.274,0,NA,0,0,0,0.087,0,0,NA,0,0,0.436,0.168,0,0,0,0,0,0,0,0,0,0,0.041,0.045,0,0.117,0,NA,0,0,0.047,0,0,0,0,0,0,0,0.097,0.069,0,0,0,0,0,0,0.145,0,0,0,0,0,0,0.095,0.683,0,0.366,0.341,0.081,0.262
mh_counselling_dist_closest_3_popwt,3.071,5.598,0.863,1.879,1.716,3.942,NA,1.208,1.025,0.763,5.015,3.856,1.146,1.01,2.927,1.124,7.932,2.909,1.663,NA,0.727,8.44,1.214,2.208,0.378,2.421,4.171,3.03,1.064,0.873,NA,13.258,1.809,13.439,2.595,2.256,4.465,7.377,13.264,10.883,1.161,3.516,NA,1.991,8.117,1.294,11.369,0.835,1.843,11.188,2.756,3.731,1.974,2.535,1.172,0.451,2.466,NA,1.755,1.082,4.076,1.347,10.954,1.042,NA,1.39,2.527,0.459,0.364,1.283,5.863,14.652,3.521,13.654,5.066,12.547,11.586,1.293,9.416,2.721,3.081,3.96,0.809,0.843,NA,2.17,11.808,0.851,0.973,2.551,1.683,2.564,2.251,0.981,1.689,1.538,3.533,2.503,2.612,5.609,1.73,2.294,3.179,0.49,2.256,3.623,2.541,3.351,4.457,2.996,0.614,0.382,15.72,0.673,0.51,0.974,0.731
mh_counselling_dist_closest_5_popwt,3.7,5.915,1.073,2.253,2.218,4.077,NA,2.077,1.91,0.903,5.47,4.369,1.34,1.146,3.308,1.364,8.09,3.71,2.198,NA,0.913,10.453,1.401,2.511,0.428,3.008,4.804,4.633,1.229,0.994,NA,18.823,2.196,14.986,3.122,2.366,4.622,7.887,14.964,11.339,1.422,4.007,NA,2.449,8.5,1.438,15.328,0.971,2.083,12.784,3.479,4.269,2.385,2.998,1.454,0.502,2.74,NA,1.966,1.138,4.31,1.496,13.822,1.229,NA,1.738,2.982,0.567,0.439,1.412,7.791,17.424,4.02,17.198,7.246,14.485,12.547,1.416,11.668,4.271,4.993,4.297,1.017,0.995,NA,2.435,14.116,1.021,1.196,3.099,1.91,3.48,2.704,1.238,2.065,1.992,4.811,2.689,3.036,6.661,2.02,2.388,3.401,0.541,2.678,4.605,2.767,3.83,5.996,3.476,0.698,0.491,16.901,0.86,0.601,1.302,0.84
mh_services_num_region,60,0,1,0,0,0,0,1,0,4,0,0,0,2,0,2,0,0,0,0,2,1,1,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,1,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,3,4,0,0,3,0,2
mh_services_num_per_1000_res_plus_buffer,0.059,NA,0.129,0,0,0,NA,0.192,0,0.66,0,0,0,0.22,0,0.233,0,0,0,NA,0.124,0.156,0.094,0,0.282,0,0,0,0,0.347,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0.441,0,0,0,0,NA,NA,0,0,0,0.274,0,NA,0,0,0,0.087,0,0,NA,0.142,0,0.29,0.842,0.124,0,0,0,0,0,0,0,0,0,0,0,0,0.117,0,NA,0,0,0.142,0,0,0,0.033,0,0,0,0,0,0,0,0,0.074,0,0,0.217,0,0,0,0,0,0,0.381,0.956,0,0,0.454,0,0.175
mh_services_dist_closest_1_popwt,2.205,4.718,0.633,1.581,0.771,3.868,NA,0.786,0.914,0.593,4.642,2.799,0.96,0.862,1.927,0.964,7.586,2.234,1.214,NA,0.594,3.902,0.871,1.755,0.304,1.952,2.845,1.458,0.69,0.527,NA,6.43,1.485,10.458,0.967,2.063,4.302,6.687,9.238,9.841,0.936,3.186,NA,1.426,7.1,1.168,6.568,0.672,1.288,8.941,2.256,3.125,0.731,1.353,0.93,0.409,1.819,NA,1.573,1.023,3.521,1.251,6.291,0.88,NA,0.886,2.317,0.391,0.239,1.031,3.204,10.486,1.534,5.447,2.228,10.809,11.09,1.216,4.204,1.928,1.345,3.609,0.581,0.731,NA,1.824,8.386,0.636,0.811,1.551,1.38,1.803,1.919,0.775,1.484,1.07,1.579,2.272,2.152,2.893,1.397,2.239,2.487,0.374,1.992,1.49,2.098,2.255,3.787,1.844,0.488,0.291,12.31,0.596,0.391,0.847,0.594
mh_services_dist_closest_3_popwt,3.071,5.598,0.863,1.879,1.716,3.942,NA,1.208,1.025,0.763,5.015,3.856,1.146,1.01,2.927,1.124,7.932,2.909,1.663,NA,0.727,8.44,1.214,2.208,0.378,2.421,4.171,3.03,1.064,0.873,NA,13.258,1.809,13.439,2.595,2.256,4.465,7.377,13.264,10.883,1.161,3.516,NA,1.991,8.117,1.294,11.369,0.835,1.843,11.188,2.756,3.731,1.974,2.535,1.172,0.451,2.466,NA,1.755,1.082,4.076,1.347,10.954,1.042,NA,1.39,2.527,0.459,0.364,1.283,5.863,14.652,3.521,13.654,5.066,12.547,11.586,1.293,9.416,2.721,3.081,3.96,0.809,0.843,NA,2.17,11.808,0.851,0.973,2.551,1.683,2.564,2.251,0.981,1.689,1.538,3.533,2.503,2.612,5.609,1.73,2.294,3.179,0.49,2.256,3.623,2.541,3.351,4.457,2.996,0.614,0.382,15.72,0.673,0.51,0.974,0.731
mh_services_dist_closest_5_popwt,3.7,5.915,1.073,2.253,2.218,4.077,NA,2.077,1.91,0.903,5.47,4.369,1.34,1.146,3.308,1.364,8.09,3.71,2.198,NA,0.913,10.453,1.401,2.511,0.428,3.008,4.804,4.633,1.229,0.994,NA,18.823,2.196,14.986,3.122,2.366,4.622,7.887,14.964,11.339,1.422,4.007,NA,2.449,8.5,1.438,15.328,0.971,2.083,12.784,3.479,4.269,2.385,2.998,1.454,0.502,2.74,NA,1.966,1.138,4.31,1.496,13.822,1.229,NA,1.738,2.982,0.567,0.439,1.412,7.791,17.424,4.02,17.198,7.246,14.485,12.547,1.416,11.668,4.271,4.993,4.297,1.017,0.995,NA,2.435,14.116,1.021,1.196,3.099,1.91,3.48,2.704,1.238,2.065,1.992,4.811,2.689,3.036,6.661,2.02,2.388,3.401,0.541,2.678,4.605,2.767,3.83,5.996,3.476,0.698,0.491,16.901,0.86,0.601,1.302,0.84
mh_supportgroup_num_region,103,0,3,0,1,0,0,3,0,0,0,0,2,2,1,0,0,0,0,0,2,1,0,0,15,1,0,0,3,3,0,0,1,0,0,0,0,0,1,0,1,0,0,3,0,0,1,2,3,0,0,0,1,0,0,4,0,0,0,0,0,1,1,3,0,0,0,0,1,0,1,0,0,1,2,0,0,0,1,0,1,0,1,2,1,0,1,3,1,0,0,0,0,2,2,1,0,0,0,0,1,0,0,7,0,2,0,0,0,0,3,1,0,3,0,2,4
mh_supportgroup_num_per_1000_res_plus_buffer,0.101,NA,0.386,0,0.129,0,NA,0.575,0.462,0,0,0,0.234,0.22,0.039,0,0,0,0.242,NA,0.124,0.156,0,0,0.47,0.085,0,0,0.451,0.521,NA,0,0.068,0,0,0,0,0,0.177,0,0.245,0,NA,0.167,0,0,0.255,0.147,0.239,0,NA,NA,0.162,0,0,0.365,0,NA,0,0.182,0,0.087,0.376,0.263,NA,0,0,0,0.168,0,0.191,0,0,0.173,0.232,0,0,0,0.203,0,0.045,0,0.117,0.309,NA,0,0.175,0.142,0.508,0,0,0,0,0.633,0.441,0.097,0,0,0,0,0.074,0,0,0.506,0,0.09,0.095,0,0,0,0.286,0.273,0,1.097,0.568,0.163,0.525
mh_supportgroup_dist_closest_5_popwt,3.7,5.915,1.073,2.253,2.218,4.077,NA,2.077,1.91,0.903,5.47,4.369,1.34,1.146,3.308,1.364,8.09,3.71,2.198,NA,0.913,10.453,1.401,2.511,0.428,3.008,4.804,4.633,1.229,0.994,NA,18.823,2.196,14.986,3.122,2.366,4.622,7.887,14.964,11.339,1.422,4.007,NA,2.449,8.5,1.438,15.328,0.971,2.083,12.784,3.479,4.269,2.385,2.998,1.454,0.502,2.74,NA,1.966,1.138,4.31,1.496,13.822,1.229,NA,1.738,2.982,0.567,0.439,1.412,7.791,17.424,4.02,17.198,7.246,14.485,12.547,1.416,11.668,4.271,4.993,4.297,1.017,0.995,NA,2.435,14.116,1.021,1.196,3.099,1.91,3.48,2.704,1.238,2.065,1.992,4.811,2.689,3.036,6.661,2.02,2.388,3.401,0.541,2.678,4.605,2.767,3.83,5.996,3.476,0.698,0.491,16.901,0.86,0.601,1.302,0.84
mh_supportgroup_dist_closest_10_popwt,4.785,6.608,1.382,2.802,2.954,5.096,NA,3.921,3.64,1.272,6.275,5.099,1.691,1.412,3.958,1.771,8.707,5.19,2.71,NA,1.259,12.787,1.845,2.918,0.553,4.098,5.818,7.56,1.499,1.219,NA,24.203,3.517,17.188,3.726,2.611,5.049,9.007,16.882,12.287,2.133,4.765,NA,3.64,9.222,1.698,22.861,1.211,3.165,14.849,4.569,5.38,3.335,3.676,2.503,0.684,3.793,NA,2.365,1.316,5.432,2.942,19.71,1.524,NA,2.247,3.654,0.735,0.683,1.643,11.354,21.996,4.502,20.659,9.597,17.29,14.314,1.572,15.36,6.653,7.101,4.889,1.285,1.251,NA,3.148,18.688,1.333,1.54,3.734,2.239,5.117,3.258,1.638,3.461,2.881,6.846,2.899,3.515,8.881,2.415,2.54,3.961,0.732,3.402,5.714,3.654,4.734,8.876,4.281,0.828,0.662,18.866,1.635,0.754,1.686,1.095
